Title,Model,Manufacturer,Price,Rating Score,Ratings
        Buffalo David Bitton Men's Short Sleeve Kasum Henley       ,BM21411,Buffalo David Bitton,22.39,4.2,287
"        Gildan Men's Crew T-Shirts, Multipack, Style G1100       ",GIL1100,Gildan,19.99,4.6,263319
"        Amazon Essentials Men's Short-Sleeve Crewneck T-Shirt, Pack of 2       ",S17AE45000,Amazon Essentials,9.0,4.2,22441
        Fruit of the Loom Men's Eversoft Cotton Stay Tucked Crew T-Shirt       ,non-value,Fruit of the Loom,18.48,4.6,102925
"        Hanes Men's Cotton, Moisture-Wicking Crew Tee Undershirts, 3-Pack       ",2135,No,10.98,4.5,40759
"        Amazon Essentials Men's Short-Sleeve Crewneck T-Shirt, Pack of 2       ",S17AE45000,Amazon Essentials,9.0,4.2,22441
"        Amazon Essentials Men's Regular-Fit Short-Sleeve Crewneck Pocket T-Shirt, Pack of 2       ",AE1814270,Amazon Essentials,11.82,4.2,13145
"        Amazon Essentials Men's Regular-Fit Short-Sleeve Crewneck T-Shirt, Pack of 2       ",AEM20112SS22,Amazon Essentials,12.68,4.5,625
"        Amazon Essentials Men's Slim-Fit Short-Sleeve Crewneck T-Shirt, Pack of 2       ",AEM20114SS22,Amazon Essentials,16.1,4.4,394
"        Amazon Essentials Men's Slim-Fit Short-Sleeve V-Neck T-Shirt, Pack of 2       ",AE181156,Amazon Essentials,9.69,4.3,8263
"        Amazon Essentials Men's Slim-Fit Short-Sleeve Crewneck T-Shirt, Pack of 2       ",MAE45001SP18,FR Apparel Trading DMCC,8.2,4.3,26955
"        Fruit of the Loom Men's Eversoft Cotton Short Sleeve Pocket T-Shirts, Breathable & Tag Free       ",6P30BG,Fruit of the Loom,17.19,4.5,54733
"        Hanes Essentials Men's T-Shirt Pack, Men's Short Sleeve Tees, Crewneck Cotton T-Shirts for Men, Value Pack       ",O5280,No,13.69,4.4,114480
"        Champion Men's T-Shirt, Cotton Midweight Men's Crewneck Tee,t-Shirt for Men(reg. Or Big & Tall)       ",GT23H,Champion,13.46,4.6,63004
